time_sec,p_now(0=left),p_now(1=right),p_future(0=left),p_future(1=right)
0.07,0.29654383659362793,0.7034487724304199,0.3714706599712372,0.6285228729248047
0.12,0.6943456530570984,0.30564749240875244,0.5658637881278992,0.4341297447681427
0.17,0.8920691013336182,0.10792573541402817,0.7332779169082642,0.26671621203422546
0.22,0.8698683977127075,0.13012604415416718,0.6923539042472839,0.3076401650905609
0.27,0.870344340801239,0.12964950501918793,0.730902373790741,0.26909157633781433
0.32,0.9062888622283936,0.09370578080415726,0.7462385892868042,0.2537555992603302
0.37,0.8965250849723816,0.10346963256597519,0.6949127912521362,0.30508118867874146
0.42,0.9331467151641846,0.06684830039739609,0.7633994221687317,0.2365950644016266
0.47,0.9440065026283264,0.05598851293325424,0.7653886675834656,0.2346058338880539
0.52,0.9331002235412598,0.06689480692148209,0.7281401753425598,0.2718544006347656
0.57,0.9374371767044067,0.0625578761100769,0.7758259177207947,0.2241688072681427
0.62,0.9157673120498657,0.08422759920358658,0.7703561782836914,0.22963854670524597
0.67,0.9188241958618164,0.08117064833641052,0.779060959815979,0.220933735370636
0.72,0.9107245802879333,0.08927018940448761,0.7787434458732605,0.22125117480754852
0.77,0.9043723940849304,0.09562227129936218,0.7670676112174988,0.23292694985866547
0.82,0.8794956207275391,0.12049887329339981,0.6980019211769104,0.3019922971725464
0.87,0.8598887324333191,0.14010542631149292,0.692287266254425,0.3077069818973541
0.92,0.8159143924713135,0.1840791553258896,0.6678839325904846,0.33211013674736023
0.97,0.7842852473258972,0.21570733189582825,0.6508820056915283,0.3491116762161255
1.02,0.7543343305587769,0.2456579953432083,0.6270934343338013,0.3729000389575958
1.07,0.7354087829589844,0.2645825147628784,0.6007168292999268,0.3992762863636017
1.12,0.7207446098327637,0.27924591302871704,0.5855616331100464,0.4144311845302582
1.17,0.6716135740280151,0.32837623357772827,0.5510773062705994,0.4489153027534485
1.22,0.823457658290863,0.1765350103378296,0.6587342619895935,0.3412590026855469
1.27,0.6970273852348328,0.30296245217323303,0.5302942991256714,0.46969789266586304
1.32,0.6483283042907715,0.35165947675704956,0.5018812417984009,0.49811026453971863
1.37,0.6252203583717346,0.37476685643196106,0.4811789095401764,0.5188124179840088
1.42,0.6194497346878052,0.38053569197654724,0.4807684123516083,0.5192222595214844
1.47,0.6085505485534668,0.39143428206443787,0.4669712781906128,0.5330191850662231
1.52,0.5674034357070923,0.4325803816318512,0.44357845187187195,0.556411862373352
1.57,0.5935069918632507,0.40647634863853455,0.4594215750694275,0.5405684113502502
1.62,0.5835587978363037,0.4164235293865204,0.45222923159599304,0.5477604269981384
1.67,0.5619237422943115,0.43805772066116333,0.4364224970340729,0.5635669231414795
1.72,0.5788922905921936,0.42108893394470215,0.44608595967292786,0.5539032816886902
1.77,0.5324575901031494,0.46752214431762695,0.4208451509475708,0.5791437029838562
1.82,0.5160353183746338,0.4839437007904053,0.4092959761619568,0.5906926989555359
1.87,0.49545392394065857,0.5045253038406372,0.4008117616176605,0.5991770029067993
1.92,0.492484986782074,0.5074933171272278,0.3931908905506134,0.6067976355552673
1.97,0.5067624449729919,0.49321460723876953,0.40324273705482483,0.5967453718185425
2.02,0.49892866611480713,0.5010471343994141,0.3981473445892334,0.6018404364585876
2.07,0.5158571004867554,0.4841189384460449,0.409604012966156,0.5903837084770203
2.12,0.5342662334442139,0.46571213006973267,0.4081997573375702,0.5917884707450867
2.17,0.4994892477989197,0.5004866123199463,0.39177992939949036,0.6082077026367188
2.22,0.4731585681438446,0.5268160104751587,0.37554892897605896,0.6244384050369263
2.27,0.46563205122947693,0.534342348575592,0.3746483027935028,0.6253390312194824
2.32,0.4798388183116913,0.5201351046562195,0.3808068037033081,0.6191802620887756
2.37,0.46772435307502747,0.5322490930557251,0.37106460332870483,0.6289225220680237
2.42,0.4403446316719055,0.5596288442611694,0.3559650480747223,0.6440222263336182
2.47,0.4711039364337921,0.5288686752319336,0.37820401787757874,0.621782660484314
2.52,0.4752650558948517,0.5247066617012024,0.37867045402526855,0.6213160753250122
2.57,0.49669650197029114,0.5032765865325928,0.39288264513015747,0.607104480266571
2.62,0.5565485954284668,0.4434245526790619,0.4364965856075287,0.5634903907775879
2.67,0.4268415570259094,0.5731282830238342,0.33715710043907166,0.6628293395042419
2.72,0.36595699191093445,0.634009838104248,0.285778284072876,0.714206874370575
2.77,0.8709987998008728,0.128994420170784,0.6796582341194153,0.3203345537185669
2.82,0.9214251041412354,0.07856948673725128,0.7124699354171753,0.28752401471138
2.87,0.9282242655754089,0.07177018374204636,0.7394213676452637,0.260572612285614
2.92,0.8992414474487305,0.10075215250253677,0.6923900842666626,0.3076030910015106
2.97,0.875187873840332,0.12480499595403671,0.6593332290649414,0.3406592607498169
3.02,0.9471189379692078,0.05287543311715126,0.762759804725647,0.23723405599594116
